Date,accx,accy,accz,gyrox,gryoy,gyroz,magnetx,magnety,magnetz,lon,lan,speed,course,error,air pressure,altitude,batteryLevel,mode,start upload,end upload
36:26.8,0.051635742,-0.314376831,-1.143005371,0.606206304,-0.030355243,0.072967951,41.76177979,-57.67094421,-216.9145508,-81.19624893,28.60521928,0.20627737,239.0376961,4.002677219,101.6663742,-0.528465271,76,undefined,,
36:27.8,-0.116073608,-0.54196167,-0.858657837,0.076060946,-0.280940326,-0.377822664,40.11897278,-72.50932312,-214.3101044,-81.19625514,28.60521402,0.765266001,256.4858895,3.947803161,101.6674728,-0.618303299,76,undefined,,
36:28.8,-0.013015747,-0.382156372,-1.028915405,0.658442078,0.051233893,0.037846182,41.06445313,-72.81689453,-217.137207,-81.19626907,28.60520377,1.47396183,242.2614054,3.938050171,101.6680679,-0.665864944,76,undefined,,
36:29.8,0.040145874,-0.331741333,-0.807907104,0.021049625,0.157022375,-0.542672335,40.99665833,-75.98342896,-213.5072174,-81.19628375,28.60519004,1.47396183,232.6415231,4.003852168,101.6687012,-0.723995209,76,undefined,,
36:30.8,0.033752441,-0.124160767,-0.924362183,-0.175959581,-0.205003216,-0.212544223,39.68902588,-73.91079712,-213.3525391,-81.19629408,28.60517735,1.510281205,228.3881153,3.893352668,101.6687469,-0.723995209,76,undefined,,
36:31.8,-0.066223145,-0.196395874,-0.947463989,-0.379619499,0.241935136,-0.223412584,36.92256165,-77.84501648,-209.2063599,-81.19630116,28.6051666,1.384678602,229.9720069,3.919206398,101.6688843,-0.734565735,76,undefined,,
36:32.8,-0.003768921,-0.143447876,-1.105575562,-0.230423355,0.36324745,0.122678516,34.2538147,-74.31593323,-211.320755,-81.19631286,28.60516039,1.384678602,233.4911161,3.931248021,101.6693115,-0.771556854,76,undefined,,
36:33.8,-0.082138062,-0.232894897,-0.982330322,0.466550403,-0.035698343,0.068062408,31.92753601,-72.05252075,-211.7036743,-81.1963245,28.60515269,1.384678602,222.7996238,4.093459022,101.669632,-0.797981262,76,undefined,,
36:34.8,0.010437012,-0.178329468,-0.888320923,-0.232932053,-0.52428454,0.219132884,33.15332031,-69.81620789,-211.6994019,-81.19634252,28.60514497,1.359452009,226.4629175,4.151814605,101.6702118,-0.845542908,76,undefined,,
36:35.8,0.057312012,-0.044418335,-0.899078369,-0.758691185,-0.057961038,0.007669904,37.90405273,-68.66004944,-210.6307068,-81.19635227,28.60513377,1.300795078,226.8263981,4.167619528,101.6707916,-0.893104553,76,undefined,,
36:36.8,0.079559326,-0.233978271,-1.007232666,-0.323134385,-0.353565794,0.412670127,39.32189941,-72.59017944,-208.6120453,-81.1963632,28.60512587,1.368613601,226.3397439,4.268087367,101.6709824,-0.908958435,76,undefined,,
36:37.8,-0.048110962,-0.253814697,-1.111221313,0.354644907,0.013379988,0.236589905,38.47079468,-73.06326294,-209.4038849,-81.19637509,28.6051168,1.325353503,222.7231179,4.255990603,101.67173,-0.972373962,76,walking,,
36:38.8,-0.117797852,-0.266708374,-1.118911743,0.085225949,-0.015521169,-0.456476463,36.13890076,-73.33009338,-210.7624664,-81.19638397,28.60510372,1.34230125,225.140739,4.222725627,101.6719284,-0.988227844,76,walking,,
36:39.8,0.075424194,-0.271347046,-0.877944946,0.320180673,0.255299943,-0.363164625,40.09434509,-70.8979187,-210.3354492,-81.19639635,28.60509076,1.34230125,223.3411357,4.188731701,101.6719284,-0.988227844,76,walking,,
36:40.8,0.074127197,-0.152252197,-0.82093811,0.019637884,0.291302419,-0.18579277,40.2794342,-69.17062378,-210.8968506,-81.19641001,28.60507737,1.390750647,222.1574896,4.218937716,101.6716843,-0.967088699,76,walking,,
36:41.8,0.031387329,-0.034179688,-0.865585327,-0.023228357,0.213011076,-0.03638677,38.32861328,-71.76763916,-210.0827026,-81.19642075,28.60506848,1.397432327,226.4279415,4.178930333,101.6716843,-0.967088699,76,walking,,
36:42.8,-0.092422485,-0.111694336,-1.089813232,0.141833302,0.159319617,-0.052906358,35.90681458,-71.4548645,-211.3450775,-81.1964287,28.60506311,1.390750647,227.489321,4.057897236,101.6720428,-0.998796463,76,walking,,
36:43.8,-0.028930664,-0.259292603,-1.152114868,0.421965092,-0.117243536,-0.011062771,33.71893311,-70.97344971,-212.9055328,-81.19643675,28.60505874,1.355644941,225.3519051,4.009509492,101.6723022,-1.019935608,76,walking,,
36:44.8,0.052749634,-0.293457031,-0.890396118,-0.525451537,-0.026668629,-0.037531929,37.6754303,-72.63169861,-210.1576538,-81.19644227,28.60505022,1.29991889,231.9336689,4.020018883,101.6727676,-1.056928635,76,walking,,
36:45.8,0.092056274,-0.19984436,-0.821350098,-0.290387623,-0.147884803,0.126745163,40.09884644,-74.14579773,-207.5028534,-81.19644546,28.60504251,1.504815817,236.9160873,4.020102903,101.6734695,-1.115058899,75,walking,,
36:46.8,0.130828857,-0.259216309,-0.923110962,-0.450032679,0.148576692,-0.057902448,43.63148499,-71.14035034,-207.7203369,-81.19646274,28.60503559,1.504815817,237.7332118,4.060961507,101.6734695,-1.115058899,75,walking,,
